ytid,start_time,class,set
1_4SgnRUZoA,180,skidding,test
1_44D0jzpno,30,female singing,test
1_bJG49lfEs,79,typing on typewriter,train
1_bJG49lfEs,46,typing on typewriter,test
1_a7Us1q9RU,406,"cattle, bovinae cowbell",test
1_1YQ-WlQoo,417,scuba diving,train
1_CC87jIhXk,461,swimming,test
3D-GYcWGwhQ,119,playing ukulele,train
1_a7Us1q9RU,418,"cattle, bovinae cowbell",train
3dibdVjLY6E,30,playing acoustic guitar,train
1_CC87jIhXk,382,swimming,train
3d47ZoOoa2I,10,arc welding,test
3dalYBRtJZU,30,playing acoustic guitar,train
3Dk2TRFS2kY,30,lawn mowing,train
1_dkCVF3rYo,29,volcano explosion,train
1_dkCVF3rYo,2,volcano explosion,train
3Dgeco-47_g,60,"playing marimba, xylophone",test
1_kjX_9H0N8,30,playing flute,train
3dBfcp42cks,2,playing castanets,train
3dKSeoGR1z4,190,"male speech, man speaking",train
1_mUc5I5BUw,116,tap dancing,train
1_kvlKJ3XZU,60,people clapping,train
1_q5HB31sRU,272,playing hockey,train
1_QwsjszJz4,30,male singing,train
1_mXM2Uc1Pk,14,"bird chirping, tweeting",train
3DKiu2JwRmA,114,slot machine,train
1_Rqy74XyD4,30,male singing,train
1_tKhXUsrjI,30,playing acoustic guitar,test
3DLkaqs2N1w,30,female singing,train
1_U5kef5I0w,30,"male speech, man speaking",test
1_uDI8gkeXo,188,skateboarding,train
1_UIquaTKGs,10,wood thrush calling,train
3D-GYcWGwhQ,132,playing ukulele,test
1_Wdqzq8bs4,1,typing on typewriter,test
1_Wdqzq8bs4,70,typing on typewriter,test
1_wJuzxVXbU,30,playing electric guitar,train
1_UIquaTKGs,32,wood thrush calling,train
1_q5HB31sRU,292,playing hockey,test
1_wEXjmyYu0,220,playing hammond organ,train
1_xkQgQJec4,30,playing electric guitar,train
3DBebXDpCus,1,train horning,train
3DBebXDpCus,15,train horning,test
3DhCCBHST-g,30,playing bass guitar,test
3DM9b8yBjd0,30,male singing,train
1_zWHYbYGkE,900,playing mandolin,train
1_zWHYbYGkE,986,playing mandolin,train
1a1Dx52izTo,0,people coughing,test
3DHZFKdF47g,116,playing theremin,train
1a7qNq6twtk,69,playing cello,train
1a9r_JlM-k0,286,bathroom ventilation fan running,train
3dBQbWPOjjI,30,playing acoustic guitar,train
3dd6zwvS_T4,30,playing accordion,train
3DHZFKdF47g,101,playing theremin,test
1aaVYh67cHg,260,playing bass guitar,train
1acVFuCvOJg,501,canary calling,train
3DhtmTYfF2E,30,"child speech, kid speaking",train
3-dm563J92Q,139,people whistling,test
1afuD0aM0z4,240,people crowd,train
3di3foLnruE,0,dog baying,test
1ahgIQxmaeA,6,child singing,train
1aHGrVdoIas,2,skidding,train
1ag_IA2r_Ig,10,helicopter,train
2E0cXm31egA,65,playing table tennis,train
2e0HjGI0GlY,0,"male speech, man speaking",train
3DOkS4iXBEs,124,playing snare drum,train
3dQFXKw18Kc,30,"motorboat, speedboat acceleration",test
2E03ziW4BP8,30,car passing by,train
3DVaxzv01sc,177,playing didgeridoo,test
3dZuwc9r2jw,80,mynah bird singing,test
2E5zIj77AEk,87,playing snare drum,train
2E6aawfNd7g,260,splashing water,train
3DVaxzv01sc,118,playing didgeridoo,train
2e56p1bICcM,90,tractor digging,train
3DOkS4iXBEs,13,playing snare drum,test
3DWHPMv2T88,30,playing electric guitar,train
3E0xJZl6tJQ,11,crow cawing,train
2eBakaPLH-8,84,underwater bubbling,train
2EbKoCYBW_Q,12,train whistling,train
3DVR27dKuQY,197,chimpanzee pant-hooting,train
3E0xJZl6tJQ,74,crow cawing,train
2ebPmPNtK4k,51,bowling impact,test
2eDkTcyzh9I,22,playing electric guitar,train
3e8ECt9wF5Y,15,playing saxophone,test
2EDzJfvu5Rw,15,missile launch,test
3dqIT7amUpI,60,playing trombone,train
3E0d70RtPGo,20,ambulance siren,train
2eeYRrqBWlE,30,goose honking,test
3dwvtkvSRZ8,360,skidding,train
2EglrAz2Pto,0,people clapping,train
3e8ECt9wF5Y,61,playing saxophone,train
2EHbM671m7U,55,playing tabla,train
2ei7yS-2vjw,0,pumping water,train
2ei7yS-2vjw,218,pumping water,train
2EIM_iSOGk8,80,playing mandolin,train
2EIM_iSOGk8,291,playing mandolin,train
2EIYh7eCSmc,36,playing bongo,test
3d-ZUPLi9yk,6,tractor digging,train
3E9ree77LFA,30,car passing by,train
2ek_-GrUPaQ,26,missile launch,train
2ELkhLI_W4U,380,arc welding,train
3DNK6BxlnyQ,30,playing banjo,train
3dndmOMZlP8,100,people coughing,test
3DPDSnI0jBE,202,crow cawing,train
3E96xfgcrU4,183,playing sitar,test
2ENSPEQZshM,30,female singing,test
2eNxilyt7-o,160,"female speech, woman speaking",train
2eoeJITJeHc,16,volcano explosion,test
2EoPvjQBmYw,80,mouse pattering,train
2eoz_HkiIBw,30,male singing,train
3E96xfgcrU4,105,playing sitar,train
2E-QgZrQ--U,30,male singing,test
2eqzjhD9o-Q,208,playing mandolin,test
2eqzjhD9o-Q,673,playing mandolin,train
2Er_Xy490zg,550,playing cello,test
3DY7nN6Lz7Y,321,fire truck siren,train
3EA-bKKcrkU,64,baby babbling,train
2ERPPyTjpS0,139,rapping,train
2ERPPyTjpS0,160,rapping,train
3E_Kr84DFR0,254,striking pool,train
2ES6DTenwUI,244,playing bagpipes,test
2ES6DTenwUI,263,playing bagpipes,train
2et3Ton0d94,8,car passing by,train
2ETM0ypWQoo,10,playing piano,train
3E_Kr84DFR0,112,striking pool,train
2EU-le_5i4A,35,cat purring,test
2EU-le_5i4A,60,cat purring,train
2eUMLGwGxRc,30,playing acoustic guitar,train
3DY7nN6Lz7Y,172,fire truck siren,test
1aLHzcnrdxc,202,playing synthesizer,test
1aNLeVBB9RQ,0,toilet flushing,test
3EcAiTE0JyE,52,playing theremin,train
1aurKJEcntU,30,male singing,train
1az62fkyZOM,238,skidding,test
03ZM-kRvvbE,27,"railroad car, train wagon",test
1avy8rrBQTk,40,playing piano,train
1b2YZNhlqtg,30,baby crying,train
-3EJe3ZMO1k,30,"playing violin, fiddle",train
3EbRmXbLb8s,88,hair dryer drying,train
03Vx4SESdU0,30,playing cymbal,train
03vVQsJ44-Q,10,stream burbling,test
3EcAiTE0JyE,77,playing theremin,train
03tSu6C05CI,30,people running,train
03NQmCrlsyY,20,playing flute,train
3EbRmXbLb8s,74,hair dryer drying,train
1b3GUzI8slI,66,driving snowmobile,train
03nufAWeM4A,50,church bell ringing,train
1b3GUzI8slI,445,driving snowmobile,train
03VaAW9NZq4,40,typing on computer keyboard,train
3eaYy0Rl3bE,20,using sewing machines,train
03Fq4LuFXo8,20,playing bass guitar,test
1aiH6vCFwjM,186,cow lowing,train
3eD8BuyZEo0,2,"donkey, ass braying",train
-2k4RLnPDbo,333,playing clarinet,test
1az62fkyZOM,257,skidding,train
-2k4RLnPDbo,153,playing clarinet,train
-2jAdijiM14,0,playing bagpipes,train
-2gf4GmIplE,120,playing french horn,test
3eD8BuyZEo0,45,"donkey, ass braying",train
-2jAdijiM14,44,playing bagpipes,train
-2Fbw2plADY,30,people whispering,train
-2bOwXoTATM,373,playing bagpipes,train
-2JalGJn_4Y,263,train whistling,train
1aZcFicpGR0,14,sliding door,train
02YswEMXMsI,34,playing flute,test
1b2gCPL5rdg,13,cat growling,train
02W6VBraJ2g,30,"pigeon, dove cooing",train
02xoNhgmtO8,29,woodpecker pecking tree,train
1bcCSqI0b9g,133,playing ukulele,train
02u3P99INjs,8,ambulance siren,train
02sHT0B_XQE,117,playing bongo,train
02Tq-8slsSs,50,wind rustling leaves,train
02rP_FzdxBQ,362,baby laughter,train
02rnKVawh0E,30,playing flute,train
02sHT0B_XQE,84,playing bongo,train
02ppXwx5H1w,26,"motorboat, speedboat acceleration",train
1aiH6vCFwjM,203,cow lowing,train
1b2gCPL5rdg,88,cat growling,train
3EEMvMklXv4,30,playing bass drum,train
02O3-z5wuXU,30,playing electric guitar,train
02P3ZXouUVM,11,"engine accelerating, revving, vroom",test
02tQ5sCp3sY,30,playing accordion,test
1acVFuCvOJg,512,canary calling,train
3eaBsNmqgDY,40,hail,train
3eaBsNmqgDY,157,hail,train
02JLBs8BRro,58,playing squash,train
02MRwKtQ_cs,0,ocean burbling,train
02he8Glpd5s,143,playing tabla,train
02icQJtccDg,292,tapping guitar,train
02gYcWjr6m0,0,playing accordion,train
02mPLSkKHA0,30,playing acoustic guitar,train
02DaUDlB82Y,202,church bell ringing,train
1bG-8LTKTdM,9,car engine starting,test
02xoNhgmtO8,60,woodpecker pecking tree,train
02he8Glpd5s,127,playing tabla,train
1bG-8LTKTdM,42,car engine starting,test
02CCSi1V49I,313,playing bass drum,train
3EihTXRPSOU,137,basketball bounce,train
02DaUDlB82Y,30,church bell ringing,test
02CCSi1V49I,427,playing bass drum,train
-1XBP-nZ1bQ,90,playing acoustic guitar,test
1-ysdmWkOg8,207,car engine starting,train
1WY3k28eU7U,320,church bell ringing,test
1WYMOua6Bj4,80,thunder,train
02_0ce4wQLU,4,"donkey, ass braying",train
1apXql4Kr40,0,fireworks banging,train
1bH3PnUWGPM,87,ice cracking,test
1bSnGCuqF9w,16,basketball bounce,train
02_0ce4wQLU,24,"donkey, ass braying",train
1WRx5JqaCy0,27,playing electric guitar,test
3EJtxe_WJyk,31,mouse clicking,train
1WO1tg3-cD0,45,air conditioning noise,train
1b-zl6Qn1ZY,26,female singing,train
1-WUrY-1Czo,270,playing trumpet,train
1WKBiiLLMnw,30,playing bass guitar,train
1bjZQVkbOdY,80,skidding,train
1WYdFCWFrIY,230,playing bagpipes,test
1bquZtBopZY,0,playing tabla,train
1bxXkIDaJPg,29,turkey gobbling,train
1WHEXqTU8ts,70,playing drum kit,train
1WfkN0b-ivo,287,rope skipping,train
1WfkN0b-ivo,374,rope skipping,train
1WeBcb6LPok,100,playing saxophone,train
3ejUnLvl_6s,120,playing bass guitar,train
1WCxPKkqFoM,30,"rowboat, canoe, kayak rowing",test
1bmYsnDkcxs,152,playing sitar,train
3ElKuXGla14,30,"male speech, man speaking",train
1c8MokoXIC8,19,skidding,train
1WBpkxq47-E,11,playing mandolin,train
1WaTnza9cn0,160,"playing violin, fiddle",test
1WbK1jdVzsM,510,people whispering,test
1bGlVNcyZTg,50,playing flute,test
1bgRBDYPDak,60,playing cymbal,test
1bh-GrgPnp8,0,"vehicle horn, car horn, honking",test
1bH3PnUWGPM,49,ice cracking,test
3EMG6FoGAgk,330,"child speech, kid speaking",train
1bqZAoPFNjg,30,car passing by,train
3ElnTGeaRlE,165,volcano explosion,train
1VyWSegeXKc,16,playing didgeridoo,test
1VynTpWC2Uo,26,driving buses,train
1VzDW57VJYA,139,playing glockenspiel,train
1VzDW57VJYA,121,playing glockenspiel,train
3EmnADEPKGs,330,playing harp,train
1c4z8aYNXxs,63,typing on typewriter,test
1VWi9jYHeJk,30,playing acoustic guitar,train
1brZyrGlTo0,26,playing tambourine,train
1c72xzS3vLw,10,ocean burbling,train
1Vs2oGm_EMg,30,chicken clucking,train
1VRjLJx7qII,20,people coughing,train
1bxXkIDaJPg,51,turkey gobbling,train
-1vr3JMt_tc,249,playing trombone,train
1VPLhdQgQyE,2,cat meowing,train
1VQZAJgvzWI,30,cat meowing,test
1VmMq9O1UC4,29,playing electric guitar,train
3ekbMT8R8qQ,5,chicken crowing,train
1VLeNY6rk8g,1,playing harmonica,train
3ek-xLwr05Q,30,dog bow-wow,train
1VLeNY6rk8g,0,playing harmonica,train
1cCdVvoxSt0,93,cat meowing,train
1VkfRElV-Mk,30,playing bass drum,test
1cCNo4BeEgo,30,playing electric guitar,train
1VJLTh884lk,27,toilet flushing,train
1VHec6IKFkc,14,police car (siren),train
1bPEJNoDGuY,10,playing hammond organ,train
1W5D3vgpe5A,30,male singing,train
1bmYsnDkcxs,107,playing sitar,test
1bUnjS9xZwo,10,playing trombone,train
1VexiEIIdFQ,170,playing bass guitar,train
1bv-7uRnIJU,599,volcano explosion,test
